order_id,order_date,customer_id,product,category,region,quantity,unit_price,discount,revenue,cost,profit,salesperson
1001,2026-01-02,C194,Cabinet,Furniture,South,3,495.71,0.0,1487.13,981.51,505.62,Ali
1002,2026-01-20,C232,Bookshelf,Furniture,South,2,402.7,0.05,765.13,515.46,249.67,Bilal
1003,2026-01-23,C265,Bookshelf,Furniture,East,3,393.02,0.0,1179.06,754.6,424.46,Ahmed
1004,2026-01-26,C284,Monitor,Electronics,South,3,299.26,0.0,897.78,646.4,251.38,Sara
1005,2026-01-25,C050,Phone,Electronics,South,2,704.04,0.05,1337.68,1041.98,295.7,Bilal
1006,2026-01-26,C238,Laptop,Electronics,North,2,891.9,0.05,1694.61,1355.69,338.92,Sara
1007,2026-01-06,C067,Cabinet,Furniture,South,2,492.96,0.05,936.62,650.71,285.91,Sara
1008,2026-01-23,C251,Cabinet,Furniture,South,2,508.19,0.05,965.56,670.81,294.75,Fatima
1009,2026-01-13,C254,Laptop,Electronics,East,3,885.31,0.0,2655.93,2018.51,637.42,Ayesha
1010,2026-01-15,C202,Monitor,Electronics,North,3,304.02,0.0,912.06,656.68,255.38,Ahmed
1011,2026-01-06,C297,Bookshelf,Furniture,South,3,406.45,0.0,1219.35,780.38,438.97,Ali
1012,2026-01-21,C032,Stationery Kit,Office Supplies,North,3,98.47,0.0,295.41,147.7,147.71,Ayesha
1013,2026-01-05,C004,Laptop,Electronics,East,3,906.59,0.0,2719.77,2067.03,652.74,Fatima
1014,2026-01-06,C032,Desk,Furniture,North,2,610.25,0.05,1159.47,829.94,329.53,Ali
1015,2026-01-08,C273,Laptop,Electronics,North,2,916.83,0.05,1741.98,1393.58,348.4,Ali
1016,2026-01-07,C149,Monitor,Electronics,East,3,294.46,0.0,883.38,636.03,247.35,Sara
1017,2026-01-24,C175,Chair,Furniture,East,3,254.37,0.0,763.11,473.13,289.98,Ahmed
1018,2026-01-06,C055,Laptop,Electronics,South,3,883.99,0.0,2651.97,2015.5,636.47,Ayesha
1019,2026-01-28,C285,Toner,Office Supplies,East,3,148.74,0.0,446.22,249.88,196.34,Ayesha
1020,2026-01-25,C266,Toner,Office Supplies,South,2,150.29,0.05,285.55,168.32,117.23,Sara
1021,2026-01-17,C275,Toner,Office Supplies,North,3,148.16,0.0,444.48,248.91,195.57,Fatima
1022,2026-01-12,C245,Headphones,Electronics,South,2,120.44,0.05,228.84,156.57,72.27,Ayesha
1023,2026-01-11,C098,Desk,Furniture,South,3,589.18,0.0,1767.54,1201.93,565.61,Bilal
1024,2026-01-28,C193,Laptop,Electronics,North,3,892.75,0.0,2678.25,2035.47,642.78,Sara
1025,2026-01-12,C222,Headphones,Electronics,East,3,122.27,0.0,366.81,238.43,128.38,Bilal
1026,2026-01-18,C278,Bookshelf,Furniture,North,2,404.33,0.05,768.23,517.54,250.69,Bilal
1027,2026-01-14,C032,Phone,Electronics,North,3,702.62,0.0,2107.86,1559.82,548.04,Ayesha
1028,2026-01-16,C064,Monitor,Electronics,East,2,300.27,0.05,570.51,432.39,138.12,Fatima
1029,2026-01-08,C169,Bookshelf,Furniture,North,3,407.63,0.0,1222.89,782.65,440.24,Sara
1030,2026-01-06,C166,Monitor,Electronics,North,2,295.21,0.05,560.9,425.1,135.8,Ali
1031,2026-01-16,C099,Cabinet,Furniture,North,3,496.05,0.0,1488.15,982.18,505.97,Ali
1032,2026-01-21,C293,Bookshelf,Furniture,North,2,405.87,0.05,771.15,519.51,251.64,Ali
1033,2026-01-12,C015,Phone,Electronics,North,2,705.03,0.05,1339.56,1043.44,296.12,Fatima
1034,2026-01-19,C118,Bookshelf,Furniture,South,2,401.83,0.05,763.48,514.34,249.14,Fatima
1035,2026-01-15,C132,Paper Box,Office Supplies,East,2,76.42,0.05,145.2,73.36,71.84,Ali
1036,2026-01-18,C154,Stationery Kit,Office Supplies,South,2,101.27,0.05,192.41,101.27,91.14,Sara
1037,2026-01-15,C082,Printer,Office Supplies,South,2,299.36,0.05,568.78,371.21,197.57,Sara
1038,2026-01-14,C129,Desk,Furniture,East,3,589.38,0.0,1768.14,1202.34,565.8,Sara
1039,2026-01-27,C137,Headphones,Electronics,East,2,117.7,0.05,223.63,153.01,70.62,Ahmed
1040,2026-01-05,C190,Printer,Office Supplies,North,2,295.03,0.05,560.56,365.84,194.72,Fatima
1041,2026-01-01,C195,Monitor,Electronics,North,3,299.98,0.0,899.94,647.96,251.98,Ahmed
1042,2026-01-03,C069,Laptop,Electronics,North,2,897.57,0.05,1705.38,1364.31,341.07,Sara
1043,2026-01-27,C249,Phone,Electronics,North,3,705.43,0.0,2116.29,1566.05,550.24,Ayesha
1044,2026-01-11,C294,Chair,Furniture,East,2,249.88,0.05,474.77,309.85,164.92,Sara
1045,2026-01-17,C007,Monitor,Electronics,South,2,304.77,0.05,579.06,438.87,140.19,Fatima
1046,2026-01-19,C144,Chair,Furniture,North,2,251.89,0.05,478.59,312.34,166.25,Ayesha
1047,2026-01-23,C253,Chair,Furniture,North,2,254.65,0.05,483.83,315.77,168.06,Ayesha
1048,2026-01-05,C125,Phone,Electronics,North,3,710.76,0.0,2132.28,1577.89,554.39,Bilal
1049,2026-01-22,C249,Phone,Electronics,East,3,711.88,0.0,2135.64,1580.37,555.27,Fatima
1050,2026-01-24,C298,Cabinet,Furniture,East,2,497.79,0.05,945.8,657.08,288.72,Bilal
1051,2026-01-13,C133,Printer,Office Supplies,East,3,297.06,0.0,891.18,552.53,338.65,Bilal
1052,2026-01-02,C164,Desk,Furniture,North,2,588.31,0.05,1117.79,800.1,317.69,Ayesha
1053,2026-01-14,C008,Cabinet,Furniture,East,3,494.2,0.0,1482.6,978.52,504.08,Bilal
1054,2026-01-03,C023,Laptop,Electronics,North,3,887.4,0.0,2662.2,2023.27,638.93,Ahmed
1055,2026-01-26,C037,Bookshelf,Furniture,North,2,392.84,0.05,746.4,502.84,243.56,Ali
1056,2026-01-13,C133,Laptop,Electronics,North,2,896.1,0.05,1702.59,1362.07,340.52,Fatima
1057,2026-01-08,C053,Laptop,Electronics,South,3,888.74,0.0,2666.22,2026.33,639.89,Ahmed
1058,2026-01-23,C211,Headphones,Electronics,East,3,118.14,0.0,354.42,230.37,124.05,Fatima
1059,2026-01-10,C012,Bookshelf,Furniture,North,3,404.7,0.0,1214.1,777.02,437.08,Fatima
1060,2026-01-12,C094,Cabinet,Furniture,East,2,500.47,0.05,950.89,660.62,290.27,Bilal
1061,2026-01-07,C220,Toner,Office Supplies,North,2,147.63,0.05,280.5,165.35,115.15,Ali
1062,2026-01-08,C099,Phone,Electronics,North,3,707.72,0.0,2123.16,1571.14,552.02,Bilal
1063,2026-01-27,C112,Paper Box,Office Supplies,North,2,76.4,0.05,145.16,73.34,71.82,Ali
1064,2026-01-06,C037,Bookshelf,Furniture,South,3,399.31,0.0,1197.93,766.68,431.25,Ayesha
1065,2026-01-18,C184,Headphones,Electronics,North,3,121.28,0.0,363.84,236.5,127.34,Ahmed
1066,2026-01-24,C110,Cabinet,Furniture,South,2,491.19,0.05,933.26,648.37,284.89,Ayesha
1067,2026-01-10,C025,Monitor,Electronics,North,3,299.48,0.0,898.44,646.88,251.56,Sara
1068,2026-01-17,C099,Desk,Furniture,North,2,588.24,0.05,1117.66,800.01,317.65,Ahmed
1069,2026-01-16,C212,Desk,Furniture,South,2,611.57,0.05,1161.98,831.74,330.24,Ali
1070,2026-01-02,C019,Chair,Furniture,South,3,250.55,0.0,751.65,466.02,285.63,Ayesha
1071,2026-01-08,C238,Phone,Electronics,East,2,694.91,0.05,1320.33,1028.47,291.86,Ahmed
1072,2026-01-02,C084,Chair,Furniture,South,2,245.99,0.05,467.38,305.03,162.35,Ali
1073,2026-01-16,C268,Cabinet,Furniture,East,3,509.24,0.0,1527.72,1008.3,519.42,Ali
1074,2026-01-26,C122,Chair,Furniture,East,3,249.51,0.0,748.53,464.09,284.44,Sara
1075,2026-01-25,C277,Headphones,Electronics,North,2,119.45,0.05,226.95,155.28,71.67,Ayesha
1076,2026-01-12,C238,Bookshelf,Furniture,North,3,401.01,0.0,1203.03,769.94,433.09,Ayesha
1077,2026-01-24,C142,Paper Box,Office Supplies,South,3,73.63,0.0,220.89,106.03,114.86,Sara
1078,2026-01-10,C077,Paper Box,Office Supplies,North,3,75.32,0.0,225.96,108.46,117.5,Fatima
1079,2026-01-16,C184,Cabinet,Furniture,North,2,498.81,0.05,947.74,658.43,289.31,Fatima
1080,2026-01-27,C193,Bookshelf,Furniture,North,2,395.34,0.05,751.15,506.04,245.11,Ayesha
1081,2026-01-03,C278,Chair,Furniture,East,3,247.27,0.0,741.81,459.92,281.89,Ahmed
1082,2026-01-15,C078,Phone,Electronics,North,3,697.38,0.0,2092.14,1548.18,543.96,Ahmed
1083,2026-01-16,C172,Laptop,Electronics,East,2,902.24,0.05,1714.26,1371.4,342.86,Bilal
1084,2026-01-01,C196,Laptop,Electronics,North,2,888.76,0.05,1688.64,1350.92,337.72,Bilal
1085,2026-01-23,C042,Printer,Office Supplies,South,2,303.89,0.05,577.39,376.82,200.57,Fatima
1086,2026-01-27,C220,Laptop,Electronics,North,3,905.67,0.0,2717.01,2064.93,652.08,Ali
1087,2026-01-11,C213,Monitor,Electronics,South,2,302.42,0.05,574.6,435.48,139.12,Ahmed
1088,2026-01-22,C141,Bookshelf,Furniture,South,2,394.96,0.05,750.42,505.55,244.87,Ayesha
1089,2026-01-08,C029,Phone,Electronics,North,2,689.0,0.05,1309.1,1019.72,289.38,Ahmed
1090,2026-01-23,C257,Laptop,Electronics,South,2,903.6,0.05,1716.84,1373.47,343.37,Sara
